<DATE>,<TIME>,<LAST>,<VOL>
03/07/20,14:57:14,195.550000000,20
03/07/20,14:57:14,195.550000000,10
03/07/20,14:57:14,195.550000000,20
03/07/20,14:57:14,195.550000000,10
03/07/20,14:57:14,195.550000000,20
03/07/20,14:57:14,195.550000000,10
03/07/20,14:57:14,195.550000000,20
03/07/20,14:57:14,195.550000000,20
03/07/20,14:57:14,195.550000000,40
03/07/20,14:57:14,195.550000000,30
03/07/20,14:57:14,195.550000000,20
03/07/20,14:57:14,195.550000000,10
03/07/20,14:57:14,195.550000000,20
03/07/20,14:57:14,195.550000000,10
03/07/20,14:57:14,195.550000000,10
03/07/20,14:57:14,195.550000000,20
03/07/20,14:57:14,195.550000000,30
03/07/20,14:57:14,195.550000000,10
03/07/20,14:57:14,195.550000000,10
03/07/20,14:57:14,195.550000000,40
03/07/20,14:57:14,195.550000000,30
03/07/20,14:57:14,195.550000000,10
03/07/20,14:57:14,195.550000000,10
03/07/20,14:57:14,195.550000000,10
03/07/20,14:57:14,195.550000000,30
03/07/20,14:57:14,195.550000000,10
03/07/20,14:57:14,195.550000000,10
03/07/20,14:57:14,195.550000000,20
03/07/20,14:57:14,195.550000000,20
03/07/20,14:57:14,195.550000000,10
03/07/20,14:57:14,195.550000000,10
03/07/20,14:57:14,195.550000000,30
03/07/20,14:57:14,195.550000000,10
03/07/20,14:57:14,195.550000000,10
03/07/20,14:57:14,195.550000000,10
03/07/20,14:57:15,195.550000000,70
03/07/20,14:57:15,195.550000000,10
03/07/20,14:57:15,195.550000000,10
03/07/20,14:57:15,195.550000000,20
03/07/20,14:57:15,195.550000000,20
03/07/20,14:57:15,195.550000000,10
03/07/20,14:57:15,195.550000000,10
03/07/20,14:57:15,195.550000000,60
03/07/20,14:57:15,195.550000000,10
03/07/20,14:57:15,195.550000000,10
03/07/20,14:57:15,195.550000000,20
03/07/20,14:57:15,195.550000000,20
03/07/20,14:57:15,195.550000000,10
03/07/20,14:57:15,195.550000000,20
03/07/20,14:57:15,195.550000000,40
03/07/20,14:57:15,195.550000000,10
03/07/20,14:57:15,195.550000000,10
03/07/20,14:57:15,195.550000000,10
03/07/20,14:57:15,195.550000000,10
03/07/20,14:57:15,195.550000000,30
03/07/20,14:57:15,195.550000000,10
03/07/20,14:57:15,195.550000000,10
03/07/20,14:57:15,195.550000000,10
03/07/20,14:57:15,195.550000000,40
03/07/20,14:57:15,195.550000000,10
03/07/20,14:57:15,195.550000000,20
03/07/20,14:57:15,195.550000000,20
03/07/20,14:57:15,195.550000000,30
03/07/20,14:57:15,195.550000000,20
03/07/20,14:57:15,195.550000000,10
03/07/20,14:57:15,195.550000000,10
03/07/20,14:57:15,195.550000000,10
03/07/20,14:57:15,195.550000000,10
03/07/20,14:57:15,195.550000000,10
03/07/20,14:57:15,195.550000000,10
03/07/20,14:57:15,195.550000000,20
03/07/20,14:57:15,195.550000000,210
03/07/20,14:57:15,195.550000000,20
03/07/20,14:57:15,195.550000000,30
03/07/20,14:57:15,195.550000000,10
03/07/20,14:57:15,195.550000000,30
03/07/20,14:57:15,195.550000000,10
03/07/20,14:57:15,195.550000000,20
03/07/20,14:57:15,195.550000000,40
03/07/20,14:57:15,195.550000000,30
03/07/20,14:57:15,195.550000000,10
03/07/20,14:57:15,195.550000000,50
03/07/20,14:57:15,195.550000000,10
03/07/20,14:57:15,195.550000000,40
03/07/20,14:57:15,195.550000000,50
03/07/20,14:57:15,195.550000000,20
03/07/20,14:57:15,195.550000000,10
03/07/20,14:57:15,195.550000000,30
03/07/20,14:57:15,195.550000000,20
03/07/20,14:57:15,195.550000000,10
03/07/20,14:57:15,195.550000000,40
03/07/20,14:57:15,195.550000000,20
03/07/20,14:57:15,195.550000000,10
03/07/20,14:57:15,195.550000000,10
03/07/20,14:57:15,195.550000000,20
03/07/20,14:57:15,195.550000000,10
03/07/20,14:57:15,195.550000000,10
03/07/20,14:57:15,195.550000000,20
03/07/20,14:57:15,195.550000000,40
03/07/20,14:57:15,195.550000000,40
03/07/20,14:57:15,195.550000000,10
03/07/20,14:57:15,195.550000000,20
03/07/20,14:57:15,195.550000000,40
03/07/20,14:57:15,195.550000000,10
03/07/20,14:57:15,195.550000000,20
03/07/20,14:57:15,195.550000000,60
03/07/20,14:57:15,195.550000000,30
03/07/20,14:57:15,195.550000000,10
03/07/20,14:57:15,195.550000000,20
03/07/20,14:57:15,195.550000000,10
03/07/20,14:57:15,195.550000000,10
03/07/20,14:57:15,195.550000000,30
03/07/20,14:57:15,195.550000000,20
03/07/20,14:57:15,195.550000000,10
03/07/20,14:57:15,195.550000000,20
03/07/20,14:57:15,195.550000000,10
03/07/20,14:57:15,195.550000000,10
03/07/20,14:57:15,195.550000000,20
03/07/20,14:57:15,195.550000000,40
03/07/20,14:57:15,195.550000000,20
03/07/20,14:57:15,195.550000000,10
03/07/20,14:57:15,195.550000000,20
03/07/20,14:57:15,195.550000000,10
03/07/20,14:57:15,195.550000000,10
03/07/20,14:57:15,195.550000000,50
03/07/20,14:57:15,195.550000000,10
03/07/20,14:57:16,195.550000000,30
03/07/20,14:57:16,195.550000000,30
03/07/20,14:57:16,195.550000000,30
03/07/20,14:57:16,195.550000000,20
03/07/20,14:57:16,195.550000000,30
03/07/20,14:57:16,195.550000000,20
03/07/20,14:57:16,195.550000000,40
03/07/20,14:57:16,195.550000000,40
03/07/20,14:57:16,195.550000000,40
03/07/20,14:57:16,195.550000000,60
03/07/20,14:57:16,195.550000000,10
03/07/20,14:57:16,195.550000000,60
03/07/20,14:57:16,195.550000000,10
03/07/20,14:57:16,195.550000000,10
03/07/20,14:57:16,195.550000000,20
03/07/20,14:57:16,195.550000000,20
03/07/20,14:57:16,195.550000000,20
03/07/20,14:57:16,195.550000000,380
03/07/20,14:57:16,195.550000000,30
03/07/20,14:57:16,195.550000000,20
03/07/20,14:57:16,195.550000000,10
03/07/20,14:57:16,195.550000000,20
03/07/20,14:57:16,195.550000000,10
03/07/20,14:57:16,195.550000000,10
03/07/20,14:57:16,195.550000000,10
03/07/20,14:57:16,195.550000000,10
03/07/20,14:57:16,195.550000000,10
03/07/20,14:57:16,195.550000000,20
03/07/20,14:57:16,195.550000000,10
03/07/20,14:57:16,195.550000000,40
03/07/20,14:57:16,195.550000000,10
03/07/20,14:57:16,195.550000000,10
03/07/20,14:57:16,195.540000000,620
03/07/20,14:57:16,195.540000000,2940
03/07/20,14:57:16,195.550000000,10
03/07/20,14:57:16,195.550000000,10
03/07/20,14:57:16,195.550000000,20
03/07/20,14:57:16,195.550000000,30
03/07/20,14:57:16,195.550000000,10
03/07/20,14:57:16,195.550000000,10
03/07/20,14:57:16,195.550000000,30
03/07/20,14:57:16,195.550000000,20
03/07/20,14:57:16,195.550000000,40
03/07/20,14:57:16,195.550000000,10
03/07/20,14:57:16,195.550000000,10
03/07/20,14:57:16,195.550000000,10
03/07/20,14:57:16,195.550000000,20
03/07/20,14:57:16,195.550000000,10
03/07/20,14:57:16,195.550000000,20
03/07/20,14:57:16,195.550000000,10
03/07/20,14:57:16,195.550000000,10
03/07/20,14:57:16,195.550000000,40
03/07/20,14:57:16,195.550000000,20
03/07/20,14:57:16,195.550000000,10
03/07/20,14:57:16,195.550000000,10
03/07/20,14:57:16,195.550000000,10
03/07/20,14:57:16,195.550000000,10
03/07/20,14:57:16,195.550000000,20
03/07/20,14:57:16,195.550000000,10
03/07/20,14:57:16,195.550000000,10
03/07/20,14:57:16,195.550000000,10
03/07/20,14:57:16,195.550000000,20
03/07/20,14:57:16,195.550000000,10
03/07/20,14:57:16,195.550000000,20
03/07/20,14:57:16,195.550000000,10
03/07/20,14:57:16,195.550000000,10
03/07/20,14:57:16,195.550000000,230000
03/07/20,14:57:16,195.550000000,10
03/07/20,14:57:16,195.550000000,10
03/07/20,14:57:16,195.550000000,10
03/07/20,14:57:16,195.550000000,20
03/07/20,14:57:16,195.550000000,20
03/07/20,14:57:16,195.550000000,10
03/07/20,14:57:16,195.550000000,10
03/07/20,14:57:16,195.550000000,40
03/07/20,14:57:16,195.550000000,6430
03/07/20,14:57:16,195.550000000,10
